"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
37;5;"—";222;"76 75 69";2;"Участвуете в конкурсе";1568334;"03.07.2026 в 18:24"
38;1;"—";222;"78 70 64";10;"Участвуете в конкурсе";1348919;"30.06.2026 в 19:33"
39;2;"Бумажное";222;"70 56 86";10;"Участвуете в конкурсе";1375596;"01.07.2026 в 09:15"
40;4;"Электронное";221;"76 65 78";2;"Участвуете в конкурсе";1436933;"01.07.2026 в 20:54"
41;1;"—";221;"74 56 81";10;"На рассмотрении";1426839;"01.07.2026 в 17:56"
42;5;"Электронное";220;"70 75 75";0;"Участвуете в конкурсе";1884964;"13.07.2026 в 15:15"
43;3;"—";220;"82 64 72";2;"Участвуете в конкурсе";1201094;"05.07.2026 в 14:55"
44;3;"—";219;"74 72 63";10;"Участвуете в конкурсе";1195273;"28.06.2026 в 14:34"
45;4;"Электронное";219;"82 64 63";10;"Участвуете в конкурсе";1259125;"30.06.2026 в 10:10"
46;4;"—";217;"70 67 78";2;"Участвуете в конкурсе";991401;"21.06.2026 в 11:14"
47;4;"—";217;"84 68 63";2;"Участвуете в конкурсе";1143887;"05.07.2026 в 20:55"
48;2;"—";217;"76 67 72";2;"Участвуете в конкурсе";1356103;"08.07.2026 в 10:24"
49;3;"—";216;"64 67 83";2;"Участвуете в конкурсе";1419018;"01.07.2026 в 16:15"
50;1;"Электронное";216;"72 61 81";2;"На рассмотрении";2152503;"16.07.2026 в 11:20"
51;1;"—";215;"76 70 67";2;"Участвуете в конкурсе";1771853;"07.07.2026 в 15:00"
52;2;"—";215;"74 64 67";10;"Участвуете в конкурсе";1186745;"09.07.2026 в 18:56"
53;5;"—";215;"72 67 66";10;"Участвуете в конкурсе";1496357;"02.07.2026 в 16:05"
54;5;"—";214;"74 72 66";2;"Участвуете в конкурсе";1185650;"28.06.2026 в 10:51"
55;3;"—";214;"70 56 78";10;"Конкурсная группа исключена";1660370;"06.07.2026 в 07:46"
